date,P1Name,P2Name,P1WinProb,P2WinProb
2018-11-02,Novak Djokovic,Marin Cilic,0.68484,0.31516
2018-11-01,Roger Federer,Fabio Fognini,0.678245,0.321755
2018-06-06,Garbine Muguruza,Maria Sharapova,0.44473,0.5552699999999999
2018-05-10,Karolina Pliskova,Simona Halep,0.434805,0.565195
2018-05-09,Simona Halep,Karolina Pliskova,0.594555,0.40544500000000006
2018-10-11,Kevin Anderson,Stefanos Tsitsipas,0.593825,0.40617499999999995
2018-08-14,Karolina Pliskova,Agnieszka Radwanska,0.29810000000000003,0.7019
2018-04-03,Karolina Pliskova,Katerina Siniakova,0.70688,0.29312000000000005
2018-03-14,Kevin Anderson,Pablo Carreno Busta,0.7342200000000001,0.2657799999999999
2018-08-09,Elina Svitolina,Johanna Konta,0.5558099999999999,0.4441900000000001
2018-05-17,Simona Halep,Madison Keys,0.595665,0.404335
2018-07-20,Anastasija Sevastova,Sorana Cirstea,0.89158,0.10841999999999996
2018-11-01,Ashleigh Barty,Caroline Garcia,0.4484,0.5516
2018-06-27,Aryna Sabalenka,Elise Mertens,0.26732999999999996,0.73267
2018-09-01,Roger Federer,Nick Kyrgios,0.599815,0.400185
2018-08-17,Novak Djokovic,Grigor Dimitrov,0.6778550000000001,0.3221449999999999
2018-05-29,Kiki Bertens,Aryna Sabalenka,0.566435,0.433565
2018-01-22,Simona Halep,Naomi Osaka,0.61666,0.38334
2018-01-15,Kiki Bertens,Catherine Cartan Bellis,0.471885,0.528115
2018-08-06,Karolina Pliskova,Katerina Siniakova,0.70688,0.29312000000000005
2018-09-01,Milos Raonic,Stan Wawrinka,0.60518,0.39481999999999995
2018-05-29,Garbine Muguruza,Svetlana Kuznetsova,0.5482400000000001,0.45175999999999994
2018-02-22,Elina Svitolina,Naomi Osaka,0.52801,0.47199
2018-03-28,Jelena Ostapenko,Elina Svitolina,0.59609,0.40391
2018-04-29,Karolina Pliskova,Coco Vandeweghe,0.426765,0.5732349999999999
2018-11-12,Novak Djokovic,John Isner,0.7405200000000001,0.25947999999999993
2018-10-25,Elina Svitolina,Caroline Wozniacki,0.720135,0.27986500000000003
2018-10-04,Caroline Wozniacki,Anett Kontaveit,0.45489999999999997,0.5451
2018-01-24,Simona Halep,Karolina Pliskova,0.594555,0.40544500000000006
2018-06-04,Daria Kasatkina,Caroline Wozniacki,0.580915,0.41908500000000004
2018-10-06,Juan Martin Del Potro,Fabio Fognini,0.33830000000000005,0.6617
2018-04-19,Dominic Thiem,Novak Djokovic,0.37514000000000003,0.62486
2018-06-02,Karen Khachanov,Lucas Pouille,0.5597799999999999,0.44022000000000006
2018-11-13,Kevin Anderson,Kei Nishikori,0.50958,0.49041999999999997
2018-03-24,Agnieszka Radwanska,Simona Halep,0.49698,0.50302
2018-05-05,Kristina Mladenovic,Coco Vandeweghe,0.392835,0.607165
2018-07-05,Simona Halep,Saisai Zheng,0.829355,0.17064500000000005
2018-11-15,Dominic Thiem,Kei Nishikori,0.336235,0.6637649999999999
2018-02-15,Roger Federer,Philipp Kohlschreiber,0.582335,0.41766499999999995
2018-08-05,Fabio Fognini,Juan Martin Del Potro,0.8025100000000001,0.19748999999999994
2018-05-31,Kiki Bertens,Aliaksandra Sasnovich,0.34042,0.65958
2018-09-07,Serena Williams,Anastasija Sevastova,0.786,0.21399999999999997
2018-01-01,Elina Svitolina,Carla Suarez Navarro,0.6305000000000001,0.36949999999999994
2018-03-09,Simona Halep,Karolina Pliskova,0.594555,0.40544500000000006
2018-02-23,Daria Kasatkina,Garbine Muguruza,0.29361,0.7063900000000001
2018-07-11,Kevin Anderson,Roger Federer,0.437945,0.562055
2018-10-23,Elina Svitolina,Karolina Pliskova,0.5325,0.4675
2018-04-27,Coco Vandeweghe,Simona Halep,0.168385,0.831615
2018-11-02,Caroline Garcia,Aryna Sabalenka,0.422195,0.577805
2018-02-17,Grigor Dimitrov,David Goffin,0.55524,0.44476000000000004
2018-07-05,Ashleigh Barty,Eugenie Bouchard,0.595705,0.40429499999999996
2018-09-07,Naomi Osaka,Madison Keys,0.569555,0.43044499999999997
2018-10-26,Roger Federer,Gilles Simon,0.6781999999999999,0.3218000000000001
2018-10-11,Alexander Zverev,Alex De Minaur,0.6269800000000001,0.3730199999999999
2018-01-11,Angelique Kerber,Dominika Cibulkova,0.302325,0.697675
2018-08-17,Kiki Bertens,Anett Kontaveit,0.58537,0.41463000000000005
2018-08-15,Aryna Sabalenka,Karolina Pliskova,0.487995,0.512005
2018-08-08,Elina Svitolina,Mihaela Buzarnescu,0.315,0.685
2018-07-06,Kiki Bertens,Venus Williams,0.461885,0.538115
2018-03-08,Sorana Cirstea,Monica Niculescu,0.41747500000000004,0.582525
2018-03-29,Juan Martin Del Potro,Milos Raonic,0.57762,0.42238
2018-08-05,Alex De Minaur,Andrey Rublev,0.49563,0.50437
2018-10-06,Caroline Wozniacki,Qiang Wang,0.694415,0.305585
2018-09-15,Su Wei Hsieh,Qiang Wang,0.35714999999999997,0.64285
2018-01-08,Lesia Tsurenko,Timea Babos,0.693865,0.30613500000000005
2018-05-17,Caroline Wozniacki,Anastasija Sevastova,0.6403449999999999,0.35965500000000006
2018-06-07,Simona Halep,Garbine Muguruza,0.43753,0.56247
2018-07-05,Dominika Cibulkova,Johanna Konta,0.5403100000000001,0.45968999999999993
2018-02-22,Garbine Muguruza,Caroline Garcia,0.697565,0.302435
2018-04-08,Kiki Bertens,Madison Keys,0.5950500000000001,0.4049499999999999
2018-03-28,Alexander Zverev,Nick Kyrgios,0.5037849999999999,0.4962150000000001
2018-05-13,Alexander Zverev,Dominic Thiem,0.40916,0.59084
2018-08-24,Aryna Sabalenka,Julia Goerges,0.48794000000000004,0.51206
2018-09-02,Karolina Pliskova,Ashleigh Barty,0.439045,0.560955
2018-07-10,Serena Williams,Camila Giorgi,0.71973,0.28027
2018-01-06,Simona Halep,Katerina Siniakova,0.489525,0.510475
2018-08-19,Magdalena Rybarikova,Coco Vandeweghe,0.736505,0.26349500000000003
2018-02-10,Lucas Pouille,Jo Wilfried Tsonga,0.437515,0.562485
2018-09-04,Juan Martin Del Potro,John Isner,0.522705,0.477295
2018-10-16,Carla Suarez Navarro,Karolina Pliskova,0.359055,0.640945
2018-05-18,Novak Djokovic,Kei Nishikori,0.716515,0.283485
2018-10-19,Daria Kasatkina,Johanna Konta,0.585285,0.41471499999999994
2018-08-04,Alexander Zverev,Kei Nishikori,0.57601,0.42399
2018-10-01,Carla Suarez Navarro,Yulia Putintseva,0.37913,0.62087
2018-10-27,Elina Svitolina,Kiki Bertens,0.462275,0.537725
2018-09-09,Novak Djokovic,Juan Martin Del Potro,0.5901700000000001,0.4098299999999999
2018-09-28,Aryna Sabalenka,Ashleigh Barty,0.5220750000000001,0.47792499999999993
2018-08-09,Aryna Sabalenka,Caroline Wozniacki,0.454335,0.5456650000000001
2018-10-14,Novak Djokovic,Borna Coric,0.69413,0.30587
2018-09-06,Madison Keys,Carla Suarez Navarro,0.6032500000000001,0.39674999999999994
2018-09-03,Marin Cilic,David Goffin,0.41023,0.58977
2018-06-04,Juan Martin Del Potro,John Isner,0.495545,0.504455
2018-01-25,Simona Halep,Angelique Kerber,0.50496,0.49504000000000004
2018-08-18,Novak Djokovic,Marin Cilic,0.7301500000000001,0.2698499999999999
2018-03-30,Alexander Zverev,Borna Coric,0.6934549999999999,0.30654500000000007
2018-10-04,Richard Gasquet,Nick Kyrgios,0.430255,0.569745
2018-10-13,Novak Djokovic,Alexander Zverev,0.23512499999999997,0.764875
2018-10-17,Anastasija Sevastova,Yulia Putintseva,0.71509,0.28491
2018-05-08,Milos Raonic,Grigor Dimitrov,0.7724599999999999,0.22754000000000008
2018-11-16,Novak Djokovic,Marin Cilic,0.68484,0.31516
2018-02-24,Elina Svitolina,Daria Kasatkina,0.62622,0.37378
2018-03-17,Naomi Osaka,Simona Halep,0.454455,0.545545
2018-10-12,Roger Federer,Kei Nishikori,0.634705,0.36529500000000004
2018-10-12,Su Wei Hsieh,Elise Mertens,0.11316999999999999,0.88683
2018-09-21,Maria Sakkari,Irina Camelia Begu,0.20741,0.79259
2018-09-01,Juan Martin Del Potro,Fernando Verdasco,0.72097,0.27903
2018-10-14,Caroline Garcia,Karolina Pliskova,0.364155,0.635845
2018-09-02,Dominic Thiem,Kevin Anderson,0.8276300000000001,0.1723699999999999
2018-06-22,Marin Cilic,Sam Querrey,0.73658,0.26342
2018-05-18,Anett Kontaveit,Caroline Wozniacki,0.4406,0.5594
2018-02-03,Kristina Mladenovic,Daria Kasatkina,0.7858050000000001,0.2141949999999999
2018-10-03,Juan Martin Del Potro,Karen Khachanov,0.581145,0.418855
2018-08-10,Simona Halep,Caroline Garcia,0.6592549999999999,0.3407450000000001
2018-05-17,Elina Svitolina,Daria Kasatkina,0.6898850000000001,0.3101149999999999
2018-01-27,Caroline Wozniacki,Simona Halep,0.56855,0.43145
2018-03-17,Daria Kasatkina,Venus Williams,0.535495,0.46450499999999995
2018-08-17,Simona Halep,Ashleigh Barty,0.73861,0.26139
2018-10-05,Caroline Wozniacki,Katerina Siniakova,0.509305,0.490695
2018-08-17,Simona Halep,Lesia Tsurenko,0.5756399999999999,0.42436000000000007
2018-11-01,Kei Nishikori,Kevin Anderson,0.5266299999999999,0.47337000000000007
2018-11-11,Kevin Anderson,Dominic Thiem,0.261215,0.738785
2018-05-17,Jelena Ostapenko,Johanna Konta,0.541345,0.45865500000000003
2018-03-26,Elina Svitolina,Ashleigh Barty,0.654655,0.345345
2018-08-15,Lesia Tsurenko,Garbine Muguruza,0.352725,0.647275
2018-08-28,Caroline Wozniacki,Samantha Stosur,0.690125,0.309875
2018-06-06,Simona Halep,Angelique Kerber,0.52961,0.47039
2018-09-03,Sloane Stephens,Elise Mertens,0.54694,0.45306
2018-02-15,Garbine Muguruza,Sorana Cirstea,0.858875,0.14112499999999994
2018-06-27,Caroline Wozniacki,Johanna Konta,0.322115,0.6778850000000001
2018-10-28,Kevin Anderson,Kei Nishikori,0.39788,0.60212
2018-08-18,David Goffin,Juan Martin Del Potro,0.48507,0.51493
2018-08-20,Aliaksandra Sasnovich,Kristina Mladenovic,0.52963,0.47036999999999995
2018-11-18,Alexander Zverev,Novak Djokovic,0.42339000000000004,0.57661
2018-05-11,Kiki Bertens,Caroline Garcia,0.752135,0.247865
2018-01-12,Juan Martin Del Potro,David Ferrer,0.75676,0.24324
2018-04-27,Karolina Pliskova,Jelena Ostapenko,0.5646,0.4354
2018-10-03,Anastasija Sevastova,Donna Vekic,0.7165900000000001,0.28340999999999994
2018-09-04,Carla Suarez Navarro,Maria Sharapova,0.43076499999999995,0.569235
2018-10-28,Elina Svitolina,Sloane Stephens,0.441825,0.558175
2018-05-18,Alexander Zverev,David Goffin,0.282865,0.7171350000000001
2018-01-04,Elina Svitolina,Johanna Konta,0.5558099999999999,0.4441900000000001
2018-11-14,Novak Djokovic,Alexander Zverev,0.51162,0.48838000000000004
2018-05-07,Novak Djokovic,Kei Nishikori,0.716515,0.283485
2018-03-26,Venus Williams,Johanna Konta,0.564925,0.435075
2018-10-26,Kei Nishikori,Dominic Thiem,0.691265,0.308735
2018-08-27,Kevin Anderson,Ryan Harrison,0.550995,0.449005
2018-02-27,Ryan Harrison,John Isner,0.42301,0.57699
2018-05-16,Simona Halep,Naomi Osaka,0.558925,0.441075
2018-01-21,Grigor Dimitrov,Nick Kyrgios,0.5589500000000001,0.44104999999999994
2018-10-30,Marin Cilic,Philipp Kohlschreiber,0.421165,0.578835
2018-09-27,Andy Murray,David Goffin,0.8499300000000001,0.15006999999999993
2018-06-25,Andy Murray,Stan Wawrinka,0.5413950000000001,0.45860499999999993
2018-08-09,Anastasija Sevastova,Julia Goerges,0.5655049999999999,0.4344950000000001
2018-05-18,Simona Halep,Caroline Garcia,0.633385,0.366615
2018-10-04,Fabio Fognini,Andrey Rublev,0.349445,0.650555
2018-04-27,Caroline Garcia,Elina Svitolina,0.167025,0.832975
2018-10-04,Naomi Osaka,Julia Goerges,0.399575,0.600425
2018-02-15,Simona Halep,Anastasija Sevastova,0.7708200000000001,0.22917999999999994
2018-06-07,Sloane Stephens,Madison Keys,0.8171200000000001,0.18287999999999993
2018-03-12,Anastasija Sevastova,Julia Goerges,0.5655049999999999,0.4344950000000001
2018-10-21,Karolina Pliskova,Caroline Wozniacki,0.5415300000000001,0.45846999999999993
2018-08-10,Elise Mertens,Aryna Sabalenka,0.612295,0.38770499999999997
2018-06-07,Juan Martin Del Potro,Marin Cilic,0.53262,0.46738
2018-02-22,Daria Kasatkina,Elena Vesnina,0.39153499999999997,0.608465
2018-06-17,Roger Federer,Milos Raonic,0.60074,0.39925999999999995
2018-08-18,Aryna Sabalenka,Madison Keys,0.62374,0.37626000000000004
2018-08-11,Elina Svitolina,Elise Mertens,0.552055,0.44794500000000004
2018-09-25,Anastasia Pavlyuchenkova,Kiki Bertens,0.29988,0.7001200000000001
2018-03-26,Milos Raonic,Diego Schwartzman,0.5750200000000001,0.4249799999999999
2018-08-16,Kiki Bertens,Caroline Wozniacki,0.79764,0.20235999999999998
2018-01-24,Roger Federer,Tomas Berdych,0.63812,0.36188
2018-10-01,Julia Goerges,Lesia Tsurenko,0.691325,0.30867500000000003
2018-06-25,Karolina Pliskova,Anastasia Pavlyuchenkova,0.73234,0.26766
2018-07-09,Jelena Ostapenko,Aliaksandra Sasnovich,0.6807399999999999,0.3192600000000001
2018-06-04,Simona Halep,Elise Mertens,0.83693,0.16307000000000005
2018-08-11,Sloane Stephens,Elina Svitolina,0.5964499999999999,0.4035500000000001
2018-01-02,Karolina Pliskova,Jelena Ostapenko,0.5646,0.4354
2018-08-27,Anastasija Sevastova,Donna Vekic,0.7165900000000001,0.28340999999999994
2018-08-09,Marin Cilic,Diego Schwartzman,0.4562,0.5438000000000001
2018-07-10,Julia Goerges,Kiki Bertens,0.18634,0.81366
2018-11-11,Kei Nishikori,Roger Federer,0.42779999999999996,0.5722
2018-03-18,Juan Martin Del Potro,Roger Federer,0.451935,0.548065
2018-01-10,Aryna Sabalenka,Shuai Zhang,0.335935,0.664065
2018-09-05,Rafael Nadal,Dominic Thiem,0.6550750000000001,0.3449249999999999
2018-01-09,Agnieszka Radwanska,Johanna Konta,0.637265,0.36273500000000003
2018-11-02,Garbine Muguruza,Anastasija Sevastova,0.44801,0.55199
2018-03-02,Lesia Tsurenko,Kristina Mladenovic,0.3721,0.6279
2018-06-19,Anastasija Sevastova,Svetlana Kuznetsova,0.405755,0.594245
2018-05-30,Kei Nishikori,Benoit Paire,0.560955,0.439045
2018-09-24,Aryna Sabalenka,Carla Suarez Navarro,0.675855,0.324145
2018-10-09,Benoit Paire,Pablo Carreno Busta,0.33076,0.6692400000000001
2018-10-07,Caroline Wozniacki,Anastasija Sevastova,0.6403449999999999,0.35965500000000006
2018-11-02,Roger Federer,Kei Nishikori,0.634705,0.36529500000000004
2018-03-30,John Isner,Juan Martin Del Potro,0.49885,0.50115
2018-08-04,Juan Martin Del Potro,Damir Dzumhur,0.7210650000000001,0.27893499999999993
2018-09-08,Novak Djokovic,Kei Nishikori,0.725635,0.27436499999999997
2018-02-16,Garbine Muguruza,Caroline Garcia,0.697565,0.302435
2018-06-17,Ashleigh Barty,Johanna Konta,0.53922,0.46077999999999997
2018-06-21,Roger Federer,Benoit Paire,0.5738300000000001,0.42616999999999994
2018-07-11,Novak Djokovic,Kei Nishikori,0.716515,0.283485
2018-05-20,Elina Svitolina,Simona Halep,0.5197099999999999,0.4802900000000001
2018-03-12,Juan Martin Del Potro,Alex De Minaur,0.86019,0.13981
2018-03-02,Juan Martin Del Potro,Dominic Thiem,0.570765,0.42923500000000003
2018-06-16,Roger Federer,Nick Kyrgios,0.563355,0.43664499999999995
2018-08-16,Stan Wawrinka,Kei Nishikori,0.50975,0.49024999999999996
2018-01-04,Katerina Siniakova,Karolina Pliskova,0.31562999999999997,0.68437
2018-07-13,Kevin Anderson,John Isner,0.58226,0.41774
2018-07-29,John Isner,Ryan Harrison,0.60192,0.39808
2018-05-09,Daria Kasatkina,Garbine Muguruza,0.473595,0.526405
2018-08-17,Roger Federer,Leonardo Mayer,0.7884249999999999,0.21157500000000007
2018-09-23,Karolina Pliskova,Naomi Osaka,0.234115,0.765885
2018-02-15,Catherine Cartan Bellis,Karolina Pliskova,0.105275,0.894725
2018-04-20,Grigor Dimitrov,David Goffin,0.55524,0.44476000000000004
2018-10-11,Borna Coric,Juan Martin Del Potro,0.23784,0.76216
2018-07-24,Karolina Pliskova,Katerina Siniakova,0.70688,0.29312000000000005
2018-06-19,Nick Kyrgios,Andy Murray,0.31583,0.68417
2018-03-29,Pablo Carreno Busta,Kevin Anderson,0.293545,0.706455
